,Charging Profile
2016-01-01 02:38:00+00:00,29.599999999999998
2016-01-01 02:39:00+00:00,25.9
2016-01-01 02:40:00+00:00,25.9
2016-01-01 02:41:00+00:00,29.599999999999998
2016-01-01 02:42:00+00:00,29.599999999999998
2016-01-01 02:43:00+00:00,29.599999999999998
2016-01-01 02:44:00+00:00,29.599999999999998
2016-01-01 02:45:00+00:00,33.3
2016-01-01 02:46:00+00:00,48.000000000000014
2016-01-01 02:47:00+00:00,179.0
2016-01-01 02:48:00+00:00,59.000000000000014
2016-01-01 02:49:00+00:00,73.70000000000002
2016-01-01 02:50:00+00:00,62.70000000000002
2016-01-01 02:51:00+00:00,55.40000000000001
2016-01-01 02:52:00+00:00,66.4
2016-01-01 02:53:00+00:00,88.4
2016-01-01 02:54:00+00:00,88.40000000000002
2016-01-01 02:55:00+00:00,77.40000000000002
2016-01-01 02:56:00+00:00,81.10000000000001
2016-01-01 02:57:00+00:00,66.4
2016-01-01 02:58:00+00:00,62.70000000000001
2016-01-01 02:59:00+00:00,62.70000000000001
2016-01-01 03:00:00+00:00,66.4
2016-01-01 03:01:00+00:00,70.10000000000001
2016-01-01 03:02:00+00:00,55.400000000000006
2016-01-01 03:03:00+00:00,66.40000000000002
2016-01-01 03:04:00+00:00,66.40000000000002
2016-01-01 03:05:00+00:00,62.70000000000002
2016-01-01 03:06:00+00:00,73.80000000000003
2016-01-01 03:07:00+00:00,73.80000000000003
2016-01-01 03:08:00+00:00,77.50000000000003
2016-01-01 03:09:00+00:00,73.80000000000003
2016-01-01 03:10:00+00:00,73.80000000000003
2016-01-01 03:11:00+00:00,73.80000000000003
2016-01-01 03:12:00+00:00,73.80000000000003
2016-01-01 03:13:00+00:00,81.20000000000003
2016-01-01 03:14:00+00:00,81.20000000000003
2016-01-01 03:15:00+00:00,77.50000000000003
2016-01-01 03:16:00+00:00,77.50000000000003
2016-01-01 03:17:00+00:00,77.50000000000003
2016-01-01 03:18:00+00:00,81.20000000000003
2016-01-01 03:19:00+00:00,81.20000000000003
2016-01-01 03:20:00+00:00,92.20000000000003
2016-01-01 03:21:00+00:00,92.20000000000003
2016-01-01 03:22:00+00:00,92.20000000000003
2016-01-01 03:23:00+00:00,92.20000000000003
2016-01-01 03:24:00+00:00,99.60000000000004
2016-01-01 03:25:00+00:00,99.60000000000004
2016-01-01 03:26:00+00:00,81.20000000000003
2016-01-01 03:27:00+00:00,77.50000000000003
2016-01-01 03:28:00+00:00,73.90000000000003
2016-01-01 03:29:00+00:00,73.90000000000003
2016-01-01 03:30:00+00:00,84.90000000000003
2016-01-01 03:31:00+00:00,81.20000000000003
2016-01-01 03:32:00+00:00,73.80000000000003
2016-01-01 03:33:00+00:00,73.90000000000003
2016-01-01 03:34:00+00:00,70.20000000000003
2016-01-01 03:35:00+00:00,186.49999999999986
2016-01-01 03:36:00+00:00,186.49999999999986
2016-01-01 03:37:00+00:00,186.49999999999986
2016-01-01 03:38:00+00:00,193.89999999999984
2016-01-01 03:39:00+00:00,73.90000000000003
2016-01-01 03:40:00+00:00,70.20000000000003
2016-01-01 03:41:00+00:00,70.20000000000003
2016-01-01 03:42:00+00:00,70.20000000000003
2016-01-01 03:43:00+00:00,197.49999999999991
2016-01-01 03:44:00+00:00,73.80000000000003
2016-01-01 03:45:00+00:00,73.80000000000003
2016-01-01 03:46:00+00:00,88.50000000000003
2016-01-01 03:47:00+00:00,92.20000000000003
2016-01-01 03:48:00+00:00,103.20000000000003
2016-01-01 03:49:00+00:00,103.20000000000003
2016-01-01 03:50:00+00:00,95.90000000000003
2016-01-01 03:51:00+00:00,92.20000000000003
2016-01-01 03:52:00+00:00,84.90000000000003
2016-01-01 03:53:00+00:00,95.90000000000003
2016-01-01 03:54:00+00:00,95.90000000000003
2016-01-01 03:55:00+00:00,92.30000000000003
2016-01-01 03:56:00+00:00,73.90000000000002
2016-01-01 03:57:00+00:00,73.90000000000002
2016-01-01 03:58:00+00:00,66.50000000000001
2016-01-01 03:59:00+00:00,81.30000000000003
2016-01-01 04:00:00+00:00,92.30000000000004
2016-01-01 04:01:00+00:00,92.30000000000004
2016-01-01 04:02:00+00:00,99.70000000000005
2016-01-01 04:03:00+00:00,110.70000000000005
2016-01-01 04:04:00+00:00,110.70000000000005
2016-01-01 04:05:00+00:00,129.00000000000006
2016-01-01 04:06:00+00:00,132.70000000000005
2016-01-01 04:07:00+00:00,136.40000000000003
2016-01-01 04:08:00+00:00,125.40000000000003
2016-01-01 04:09:00+00:00,121.70000000000003
2016-01-01 04:10:00+00:00,230.69999999999996
2016-01-01 04:11:00+00:00,230.69999999999996
2016-01-01 04:12:00+00:00,219.69999999999996
2016-01-01 04:13:00+00:00,85.00000000000003
2016-01-01 04:14:00+00:00,88.70000000000003
2016-01-01 04:15:00+00:00,85.00000000000003
2016-01-01 04:16:00+00:00,85.00000000000003
2016-01-01 04:17:00+00:00,77.60000000000002
2016-01-01 04:18:00+00:00,92.30000000000003
2016-01-01 04:19:00+00:00,88.60000000000002
2016-01-01 04:20:00+00:00,95.90000000000002
2016-01-01 04:21:00+00:00,106.90000000000002
2016-01-01 04:22:00+00:00,106.90000000000003
2016-01-01 04:23:00+00:00,117.90000000000003
2016-01-01 04:24:00+00:00,103.20000000000003
2016-01-01 04:25:00+00:00,117.90000000000003
2016-01-01 04:26:00+00:00,110.60000000000004
2016-01-01 04:27:00+00:00,121.60000000000004
2016-01-01 04:28:00+00:00,117.90000000000003
2016-01-01 04:29:00+00:00,103.20000000000002
2016-01-01 04:30:00+00:00,95.90000000000002
2016-01-01 04:31:00+00:00,99.60000000000002
2016-01-01 04:32:00+00:00,88.60000000000002
2016-01-01 04:33:00+00:00,77.60000000000002
2016-01-01 04:34:00+00:00,81.30000000000003
2016-01-01 04:35:00+00:00,81.30000000000003
2016-01-01 04:36:00+00:00,85.00000000000004
2016-01-01 04:37:00+00:00,92.40000000000005
2016-01-01 04:38:00+00:00,92.40000000000005
2016-01-01 04:39:00+00:00,103.40000000000005
2016-01-01 04:40:00+00:00,114.40000000000005
2016-01-01 04:41:00+00:00,99.70000000000003
2016-01-01 04:42:00+00:00,226.9999999999998
2016-01-01 04:43:00+00:00,103.30000000000003
2016-01-01 04:44:00+00:00,70.20000000000002
2016-01-01 04:45:00+00:00,70.20000000000002
2016-01-01 04:46:00+00:00,73.90000000000002
2016-01-01 04:47:00+00:00,77.50000000000001
2016-01-01 04:48:00+00:00,77.50000000000001
2016-01-01 04:49:00+00:00,81.20000000000002
2016-01-01 04:50:00+00:00,84.90000000000002
2016-01-01 04:51:00+00:00,88.60000000000002
2016-01-01 04:52:00+00:00,77.60000000000002
2016-01-01 04:53:00+00:00,77.60000000000004
2016-01-01 04:54:00+00:00,66.60000000000002
2016-01-01 04:55:00+00:00,66.60000000000002
2016-01-01 04:56:00+00:00,62.90000000000002
