,Mobility Profile
2016-01-01 02:32:00+00:00,78031.16364993759
2016-01-01 02:33:00+00:00,69100.93940563229
2016-01-01 02:34:00+00:00,56210.47807935099
2016-01-01 02:35:00+00:00,56210.47807935099
2016-01-01 02:36:00+00:00,51352.526129167
2016-01-01 02:37:00+00:00,66351.97625588143
2016-01-01 02:38:00+00:00,85867.1551675256
2016-01-01 02:39:00+00:00,101929.99901846539
2016-01-01 02:40:00+00:00,101929.99901846539
2016-01-01 02:41:00+00:00,88951.45159061588
2016-01-01 02:42:00+00:00,108349.18401470814
2016-01-01 02:43:00+00:00,119067.76666189083
2016-01-01 02:44:00+00:00,142049.9411822745
2016-01-01 02:45:00+00:00,114369.76426462863
2016-01-01 02:46:00+00:00,107924.97511987652
2016-01-01 02:47:00+00:00,89746.02975285871
2016-01-01 02:48:00+00:00,89746.02975285871
2016-01-01 02:49:00+00:00,84738.7468928164
2016-01-01 02:50:00+00:00,91026.35933674139
2016-01-01 02:51:00+00:00,81137.19507882575
2016-01-01 02:52:00+00:00,60910.044265466255
2016-01-01 02:53:00+00:00,36137.913558522814
2016-01-01 02:54:00+00:00,62392.80715998306
2016-01-01 02:55:00+00:00,73255.23814992922
2016-01-01 02:56:00+00:00,59877.84435381195
2016-01-01 02:57:00+00:00,67319.5238364572
2016-01-01 02:58:00+00:00,77859.51924866252
2016-01-01 02:59:00+00:00,88275.39083100301
2016-01-01 03:00:00+00:00,108954.37580803031
2016-01-01 03:01:00+00:00,102394.74408723916
2016-01-01 03:02:00+00:00,102394.74408723916
2016-01-01 03:03:00+00:00,79183.69607623683
2016-01-01 03:04:00+00:00,89487.03436601331
2016-01-01 03:05:00+00:00,115448.35265550461
2016-01-01 03:06:00+00:00,100135.49592152145
2016-01-01 03:07:00+00:00,89719.44153082704
2016-01-01 03:08:00+00:00,59212.22917771153
2016-01-01 03:09:00+00:00,49815.0805504285
2016-01-01 03:10:00+00:00,62619.68645270867
2016-01-01 03:11:00+00:00,73272.87914859276
2016-01-01 03:12:00+00:00,73272.87914859276
2016-01-01 03:13:00+00:00,54514.62774987332
2016-01-01 03:14:00+00:00,49234.75487533363
2016-01-01 03:15:00+00:00,42791.1979531067
2016-01-01 03:16:00+00:00,42791.1979531067
2016-01-01 03:17:00+00:00,65709.95269013775
2016-01-01 03:18:00+00:00,50129.71790279038
2016-01-01 03:19:00+00:00,69254.52702480368
2016-01-01 03:20:00+00:00,58191.678766482226
2016-01-01 03:21:00+00:00,58191.678766482226
2016-01-01 03:22:00+00:00,79329.18170936767
2016-01-01 03:23:00+00:00,96869.52106667652
2016-01-01 03:24:00+00:00,95418.1162967532
2016-01-01 03:25:00+00:00,91982.07613966092
2016-01-01 03:26:00+00:00,91982.07613966092
2016-01-01 03:27:00+00:00,91982.07613966092
2016-01-01 03:28:00+00:00,83916.40591136242
2016-01-01 03:29:00+00:00,87028.34426805128
2016-01-01 03:30:00+00:00,84968.5077977762
2016-01-01 03:31:00+00:00,78567.02034900693
2016-01-01 03:32:00+00:00,71531.6653861915
2016-01-01 03:33:00+00:00,54314.33096223447
2016-01-01 03:34:00+00:00,71331.72936822566
2016-01-01 03:35:00+00:00,68186.25839223256
2016-01-01 03:36:00+00:00,68186.25839223256
2016-01-01 03:37:00+00:00,79840.73989143361
2016-01-01 03:38:00+00:00,75785.29550722206
2016-01-01 03:39:00+00:00,87468.50533105373
2016-01-01 03:40:00+00:00,99093.81204059602
2016-01-01 03:41:00+00:00,88411.92350960609
2016-01-01 03:42:00+00:00,107982.96291101069
2016-01-01 03:43:00+00:00,104140.00178740812
2016-01-01 03:44:00+00:00,92485.52028820723
2016-01-01 03:45:00+00:00,125098.69439838514
2016-01-01 03:46:00+00:00,109752.23232306639
2016-01-01 03:47:00+00:00,115948.2140707419
2016-01-01 03:48:00+00:00,101638.92761611249
2016-01-01 03:49:00+00:00,111700.89933208966
2016-01-01 03:50:00+00:00,121016.76523396016
2016-01-01 03:51:00+00:00,130488.57849215758
2016-01-01 03:52:00+00:00,130152.18337496754
2016-01-01 03:53:00+00:00,131087.23247408654
2016-01-01 03:54:00+00:00,128227.86074537726
2016-01-01 03:55:00+00:00,104279.24223619816
2016-01-01 03:56:00+00:00,93942.16586335478
2016-01-01 03:57:00+00:00,110527.37187249833
2016-01-01 03:58:00+00:00,133942.69010292008
2016-01-01 03:59:00+00:00,125999.5634331239
2016-01-01 04:00:00+00:00,125698.7990769403
2016-01-01 04:01:00+00:00,135736.4029142927
2016-01-01 04:02:00+00:00,133952.16320648804
2016-01-01 04:03:00+00:00,124529.5331826246
2016-01-01 04:04:00+00:00,125784.6003012367
2016-01-01 04:05:00+00:00,107698.00856173488
2016-01-01 04:06:00+00:00,109253.81321482765
2016-01-01 04:07:00+00:00,116359.72810058254
2016-01-01 04:08:00+00:00,97426.3132347615
2016-01-01 04:09:00+00:00,72297.10894507785
2016-01-01 04:10:00+00:00,86258.63939827714
2016-01-01 04:11:00+00:00,98100.38874947448
2016-01-01 04:12:00+00:00,107686.73240135539
2016-01-01 04:13:00+00:00,129214.763434296
2016-01-01 04:14:00+00:00,116161.46188254663
2016-01-01 04:15:00+00:00,104862.88735477823
2016-01-01 04:16:00+00:00,121577.18395054628
2016-01-01 04:17:00+00:00,141016.2450033598
2016-01-01 04:18:00+00:00,117079.58894344413
2016-01-01 04:19:00+00:00,117079.58894344413
2016-01-01 04:20:00+00:00,110945.99788626745
2016-01-01 04:21:00+00:00,96126.15307404759
2016-01-01 04:22:00+00:00,96574.36746742121
2016-01-01 04:23:00+00:00,97331.03354322638
2016-01-01 04:24:00+00:00,97331.03354322638
2016-01-01 04:25:00+00:00,74036.62919775104
2016-01-01 04:26:00+00:00,72778.37795531761
2016-01-01 04:27:00+00:00,67584.17473466789
2016-01-01 04:28:00+00:00,97486.98528915194
2016-01-01 04:29:00+00:00,120283.07364015172
2016-01-01 04:30:00+00:00,120030.57298456828
2016-01-01 04:31:00+00:00,107229.94451921307
2016-01-01 04:32:00+00:00,107229.94908085308
2016-01-01 04:33:00+00:00,121536.17902734484
2016-01-01 04:34:00+00:00,113919.91978685328
2016-01-01 04:35:00+00:00,103100.73834028153
2016-01-01 04:36:00+00:00,70429.20917101314
2016-01-01 04:37:00+00:00,60148.315551260646
2016-01-01 04:38:00+00:00,76295.71604962589
2016-01-01 04:39:00+00:00,77101.29249305058
2016-01-01 04:40:00+00:00,82996.76816444781
2016-01-01 04:41:00+00:00,86057.54048286586
2016-01-01 04:42:00+00:00,83494.83634690629
2016-01-01 04:43:00+00:00,104210.12095331341
2016-01-01 04:44:00+00:00,112911.20236885123
2016-01-01 04:45:00+00:00,112911.19780721123
2016-01-01 04:46:00+00:00,107570.09550944001
2016-01-01 04:47:00+00:00,99334.61737573655
2016-01-01 04:48:00+00:00,130985.392909607
2016-01-01 04:49:00+00:00,123811.85010662452
2016-01-01 04:50:00+00:00,105838.26913080041
2016-01-01 04:51:00+00:00,126796.38468467953
2016-01-01 04:52:00+00:00,145053.0918894465
2016-01-01 04:53:00+00:00,146910.32262556988
2016-01-01 04:54:00+00:00,136476.9405679156
2016-01-01 04:55:00+00:00,120617.18244394909
2016-01-01 04:56:00+00:00,113834.2405248985
